project,unit,type,owner,parent,countries,status_tabular,start_year,capacity,production,units,geom,lat,lng,route,url,pci5,status
Tarbert power station,GT5,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,pre-construction,2024,50,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,pre-construction
Tarbert power station,GT6,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,pre-construction,2024,50,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,pre-construction
Tarbert power station,GT7,gas_power_plant,SSE Thermal Ltd,SSE PLC,Ireland,pre-construction,2024,50,,MW,point,52.59,-9.3634,,https://www.gem.wiki/Tarbert_power_station,,pre-construction
Tarragona Refinery power station,GT1,gas_power_plant,Repsol SA,Repsol SA,Spain,operating,2000,85,,MW,point,41.176,1.224,,https://www.gem.wiki/Tarragona_Refinery_power_station,,operating
Tarragona power Station,1,gas_power_plant,Tarragona Power SL,Iberdrola SA,Spain,operating,2004,417,,MW,point,41.11,1.1805,,https://www.gem.wiki/Tarragona_power_station,,operating
Tavaux Works power station,2-1,gas_power_plant,Solvay SA,Solvay SA,France,operating,2015,48,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,operating
Tavaux Works power station,2-2,gas_power_plant,Solvay SA,Solvay SA,France,operating,2015,48,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,operating
Tavaux Works power station,7,gas_power_plant,Solvay SA,Solvay SA,France,operating,2000,22.5,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,operating
Tavaux Works power station,8,gas_power_plant,Solvay SA,Solvay SA,France,operating,2000,22.5,,MW,point,47.055,5.4086,,https://www.gem.wiki/Tavaux_Works_power_station,,operating
Tavazzano power station,5,gas_power_plant,EP Produzione SpA,EP Corporate Group AS [56.00%]; J&T Energy Holding AS [44.00%],Italy,operating,2005,765,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,operating
Tavazzano power station,6,gas_power_plant,EP Produzione SpA,EP Corporate Group AS [56.00%]; J&T Energy Holding AS [44.00%],Italy,operating,2005,385,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,operating
Tavazzano power station,CCGT8,gas_power_plant,EP Produzione SpA,EP Corporate Group AS [56.00%]; J&T Energy Holding AS [44.00%],Italy,construction,2024,560,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,construction_plus
Tavazzano power station,CCST8,gas_power_plant,EP Produzione SpA,EP Corporate Group AS [56.00%]; J&T Energy Holding AS [44.00%],Italy,construction,2024,290,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,construction_plus
Tavazzano power station,GT8,gas_power_plant,EP Produzione SpA,EP Corporate Group AS [56.00%]; J&T Energy Holding AS [44.00%],Italy,retired,1992,320,,MW,point,45.333,9.4364,,https://www.gem.wiki/Tavazzano_power_station,,retired
Tavri power station,1,gas_power_plant,Technopromexport,Rostec,Ukraine,operating,2018,245,,MW,point,44.943,34.224,,https://www.gem.wiki/Tavri_power_station,,operating
Tavri power station,2,gas_power_plant,Technopromexport,Rostec,Ukraine,operating,2019,245,,MW,point,44.943,34.224,,https://www.gem.wiki/Tavri_power_station,,operating
